decile,n,defaults,default_rate,lift,cum_pct_defaults
1,4500,1328,0.2951111111111111,4.414893617021277,0.44148936170212766
2,4500,634,0.1408888888888889,2.107712765957447,0.6522606382978723
3,4500,347,0.07711111111111112,1.153590425531915,0.7676196808510638
4,4500,229,0.050888888888888886,0.7613031914893617,0.84375
5,4500,164,0.036444444444444446,0.5452127659574468,0.8982712765957447
6,4500,105,0.023333333333333334,0.34906914893617025,0.9331781914893617
7,4500,82,0.018222222222222223,0.2726063829787234,0.960438829787234
8,4500,55,0.012222222222222223,0.18284574468085107,0.9787234042553191
9,4500,36,0.008,0.1196808510638298,0.9906914893617021
10,4500,28,0.006222222222222222,0.09308510638297872,1.0
