decile,n,defaults,default_rate,lift,cum_pct_defaults
1,4500,1402,0.31155555555555553,4.660904255319148,0.4660904255319149
2,4500,599,0.13311111111111112,1.9913563829787237,0.6652260638297872
3,4500,337,0.0748888888888889,1.1203457446808511,0.7772606382978723
4,4500,225,0.05,0.7480053191489362,0.852061170212766
5,4500,154,0.03422222222222222,0.511968085106383,0.9032579787234043
6,4500,105,0.023333333333333334,0.34906914893617025,0.9381648936170213
7,4500,76,0.016888888888888887,0.25265957446808507,0.9634308510638298
8,4500,48,0.010666666666666666,0.1595744680851064,0.9793882978723404
9,4500,35,0.0077777777777777776,0.1163563829787234,0.9910239361702128
10,4500,27,0.006,0.08976063829787234,1.0
